question,answer
practitioner,người hành nghề
preach,rao giảng
precede,đi trước
precedent,tiền lệ
precious,quý giá
precise,chính xác
precisely,chính xác
precision,độ chính xác
predator,động vật ăn thịt
predecessor,người tiền nhiệm
predictable,có thể dự đoán được
predominantly,chủ yếu
preference,sự ưa thích
pregnancy,mang thai
prejudice,định kiến
preliminary,sơ bộ
premier,thủ tướng
premise,tiền đề
premium,phần thưởng
prescribe,kê đơn
prescription,đơn thuốc
presently,hiện tại
preservation,sự bảo tồn
preside,chủ trì
presidency,chức vụ tổng thống
presidential,tổng thống
prestigious,uy tín
presumably,có lẽ
presume,cho rằng
prevail,chiếm ưu thế
prevalence,sự phổ biến
prevention,phòng ngừa
prey,con mồi
pride,kiêu hãnh
primarily,chủ yếu
principal,hiệu trưởng
prior,trước
privatization,tư nhân hóa
privilege,đặc quyền
probability,xác suất
probable,có khả năng
probe,thăm dò
problematic,có vấn đề
proceed,tiếp tục
proceeding,tiến hành
proceeds,tiền thu được
processing,xử lý
processor,bộ xử lý
proclaim,tuyên bố
productive,có năng suất
productivity,năng suất
profitable,có lợi nhuận
profound,sâu
programming,lập trình
progressive,tiến bộ
prohibit,cấm
projection,phép chiếu
prominent,nổi bật
promising,hứa hẹn
promotion,khuyến mãi
prompt,nhắc nhở
pronounced,phát âm
propaganda,tuyên truyền
proportion,tỷ lệ
proposition,đề xuất
prosecute,truy tố
prosecution,truy tố
prosecutor,công tố viên
prospective,có triển vọng
prosperity,sự phồn vinh
protective,bảo vệ
protein,chất đạm
protester,người phản đối
protocol,giao thức
province,tỉnh
provincial,tỉnh
provision,sự cung cấp
provoke,khiêu khích
psychiatric,tâm thần học
psychological,tâm lý
publicity,công khai
publishing,xuất bản
pulse,xung
pump,bơm
punch,cú đấm
punk,punk
purely,hoàn toàn
pursuit,sự theo đuổi
puzzle,câu đố
query,truy vấn
quest,nhiệm vụ
questionnaire,bảng câu hỏi
quota,hạn ngạch
racial,chủng tộc
racism,chủ nghĩa phân biệt chủng tộc
racist,phân biệt chủng tộc
radar,radar
radiation,bức xạ
radical,cấp tiến
rage,cơn thịnh nộ
raid,cuộc đột kích
rail,đường sắt
rally,tập hợp
random,ngẫu nhiên
ranking,xếp hạng
rape,hiếp dâm
rat,con chuột
rating,xếp hạng
ratio,tỷ lệ
rational,hợp lý
ray,tia
readily,dễ dàng
realization,sự thực hiện
realm,vương quốc
rear,ở phía sau
reasonably,hợp lý
reasoning,lý luận
reassure,trấn an
rebel,kẻ nổi loạn
rebellion,cuộc nổi loạn
rebuild,xây dựng lại
receiver,người nhận
recession,suy thoái
recipient,người nhận
reckon,tính toán
recognition,sự công nhận
reconstruction,tái thiết
recount,kể lại
recovery,sự hồi phục
recruit,tuyển dụng
recruitment,tuyển dụng
referee,trọng tài
referendum,trưng cầu dân ý
reflection,sự phản xạ
reform,cải cách
refuge,nơi trú ẩn
refugee,người tị nạn
refusal,sự từ chối
regain,lấy lại
regardless,bất kể
regime,chế độ
registration,sự đăng ký
regulate,điều chỉnh
regulator,bộ điều chỉnh
regulatory,quy định
rehabilitation,phục hồi chức năng
reign,triều đại
reinforce,củng cố
rejection,sự từ chối
relevance,sự liên quan
reliability,độ tin cậy
relieve,dịu đi
relieved,nhẹ nhõm
reluctant,miễn cưỡng
remainder,phần còn lại
remains,còn lại
remarkable,đáng chú ý
remarkably,đáng chú ý
remedy,biện pháp khắc phục
reminder,lời nhắc nhở
removal,loại bỏ
render,kết xuất
renew,làm mới
renowned,nổi tiếng
rental,cho thuê
replacement,thay thế
reportedly,được báo cáo
reporting,báo cáo
representation,đại diện
reproduce,sinh sản
reproduction,sinh sản
republic,cộng hòa
resemble,giống như
reside,cư trú
residence,nơi cư trú
residential,khu dân cư
residue,dư lượng
resign,từ chức
resignation,sự từ chức
resistance,sức chống cự
resolution,nghị quyết
respective,tương ứng
respectively,tương ứng
restoration,phục hồi
restore,khôi phục
restraint,sự kiềm chế
restrict,hạn chế
restriction,sự hạn chế
resume,bản tóm tắt
retail,bán lẻ
retirement,nghỉ hưu
retreat,rút lui
retrieve,lấy lại
revelation,sự mặc khải
revenge,sự trả thù
revenue,doanh thu
reverse,đảo ngược
revision,ôn tập
revival,sự hồi sinh
revive,hồi sinh
revolutionary,mang tính cách mạng
rhetoric,hùng biện
ridiculous,lố bịch
rifle,súng trường
riot,cuộc náo loạn
rip,xé
risky,rủi ro
ritual,nghi thức
rival,đối thủ
rob,cướp
robbery,cướp
robust,mạnh mẽ
rock,đá
rocket,tên lửa
rod,thanh
romance,lãng mạn
rose,hoa hồng
rotate,quay
rotation,sự quay vòng
roughly,đại khái
ruin,sự đổ nát
ruling,phán quyết
rumour,tin đồn
sack,bao
sacred,thiêng liêng
sacrifice,hy sinh
saint,thánh
sake,rượu sake
sanction,lệnh trừng phạt
satisfaction,sự hài lòng
say,nói
scandal,vụ bê bối
scare,sự sợ hãi
scattered,rải rác
scenario,kịch bản
sceptical,hoài nghi
scholar,học giả
scholarship,học bổng
scope,phạm vi
scratch,cào
screening,sàng lọc
screw,vít
scrutiny,sự giám sát
seal,niêm phong
secular,thế tục
seeker,người tìm kiếm
seemingly,dường như
segment,phân khúc
seize,tịch thu
seldom,hiếm khi
selective,chọn lọc
seminar,hội thảo
senator,thượng nghị sĩ
sensation,cảm giác
sensitivity,độ nhạy
sentiment,tình cảm
separation,sự tách biệt
serial,loạt bài
set-up,cài đặt
settlement,giải quyết
settler,người định cư
severely,nghiêm trọng
sexuality,tình dục
sexy,gợi cảm
shaped,có hình dạng
shareholder,cổ đông
shatter,vỡ tan
shed,túp lều
sheer,trong suốt
shipping,vận chuyển
shocking,gây sốc
shoot,bắn
shore,bờ biển
short-term,ngắn hạn
shortage,thiếu
shortly,trong thời gian ngắn
shrink,co lại
shrug,nhún vai
sibling,anh em ruột
sigh,thở dài
signature,chữ ký
significance,ý nghĩa
simulate,mô phỏng
simulation,mô phỏng
simultaneously,đồng thời
sin,tội lỗi
situated,nằm
sketch,phác thảo
skilled,có tay nghề
skip,nhảy
skull,hộp sọ
slam,đập mạnh
slap,tát
slash,dấu gạch chéo
slavery,chế độ nô lệ
slogan,khẩu hiệu
slot,chỗ
smash,đập vỡ
snap,búng tay
so-called,cái gọi là
soak,ngâm
soar,bay lên
socialist,xã hội chủ nghĩa
sole,đế giày
solely,chỉ riêng
solicitor,luật sư
solidarity,sự đoàn kết
solo,đơn ca
somehow,bằng cách nào đó
sometime,đôi khi
sophisticated,cầu kì
sound,âm thanh
sovereignty,chủ quyền
spam,thư rác
span,nhịp
spare,dự phòng
spark,tia lửa
specialize,chuyên môn hóa
specialized,chuyên
specification,đặc điểm kỹ thuật
specify,chỉ rõ
specimen,mẫu vật
spectacle,cảnh tượng
spectacular,hùng vĩ
spectator,khán giả
spectrum,quang phổ
speculate,suy đoán
speculation,suy đoán
spell,Đánh vần
sphere,hình cầu
spill,tràn
spin,quay
spine,xương sống
spite,sự bất chấp
spoil,chiều hư
spokesman,người phát ngôn
spokesperson,người phát ngôn
spokeswoman,người phát ngôn
sponsorship,tài trợ
sporting,thể thao
spotlight,điểm sáng
spouse,vợ chồng
spy,gián điệp
squad,đội hình
squeeze,vắt kiệt
stab,đâm
stability,sự ổn định
stabilize,ổn định
stake,cổ phần
stall,quầy hàng
stance,lập trường
standing,đứng
stark,ngay đơ
starve,chết đói
statistical,thống kê
steadily,đều đặn
steam,hơi nước
steer,lái
stem,thân cây
stereotype,khuôn mẫu
stimulate,kích thích
stimulus,kích thích
stir,khuấy
storage,kho
straightforward,thẳng thắn
strain,sự căng thẳng
strand,sợi
strategic,chiến lược
strengthen,tăng cường
strictly,nghiêm ngặt
striking,nổi bật
strip,dải
strive,phấn đấu
stroke,đột quỵ
structural,cấu trúc
stumble,vấp ngã
stun,làm choáng
stunning,kinh ngạc
submission,sự trình bày
subscriber,người đăng ký
subscription,đăng ký
subsequent,tiếp theo
subsequently,sau đó
subsidy,trợ cấp
substantial,đáng kể
substantially,về cơ bản
substitute,thay thế
substitution,sự thay thế
subtle,tinh tế
suburb,vùng ngoại ô
suburban,ngoại ô
succession,sự kế vị
successive,liên tiếp
successor,người kế nhiệm
suck,hút
sue,kiện tụng
suffering,đau khổ
sufficient,hợp lý
sufficiently,đủ
suicide,tự tử
suite,bộ
summit,đỉnh cao
super,siêu
superb,tuyệt vời
superior,thượng đẳng
supervise,giám sát
supervision,giám sát
supervisor,người giám sát
supplement,bổ sung
supportive,hỗ trợ
supposedly,được cho là
suppress,kìm nén
supreme,tối cao
surge,sự gia tăng
surgeon,bác sĩ phẫu thuật
surgical,phẫu thuật
surplus,thặng dư
surrender,đầu hàng
surveillance,giám sát
survival,sống sót
survivor,người sống sót
suspend,đình chỉ
suspension,đình chỉ
suspicion,sự nghi ngờ
suspicious,khả nghi
sustain,duy trì
sustainable,bền vững
swallow,nuốt
swing,xích đu
sword,gươm
symbolic,mang tính biểu tượng
sympathetic,thông cảm
syndrome,hội chứng
synthesis,tổng hợp
systematic,có hệ thống
tackle,giải quyết
tactic,chiến thuật
tactical,chiến thuật
tag,nhãn
tap,vỗ nhẹ
taxpayer,người nộp thuế
technological,công nghệ
teens,thanh thiếu niên
temple,ngôi đền
temporarily,tạm thời
tempt,cám dỗ
tenant,người thuê nhà
tendency,xu hướng
tender,mềm
tension,căng thẳng
tenure,nhiệm kỳ
terminal,phần cuối
terminate,chấm dứt
terms,các điều khoản
terrain,địa hình
terribly,khủng khiếp
terrific,tuyệt vời
terrify,làm kinh hoàng
territory,lãnh thổ
terror,khủng bố
terrorism,khủng bố
terrorist,khủng bố
testify,làm chứng
testimony,lời khai
testing,thử nghiệm
textbook,sách giáo khoa
texture,kết cấu
thankfully,may mắn thay
theatrical,sân khấu
theft,trộm cắp
theology,thần học
theoretical,lý thuyết
therapist,nhà trị liệu
thereafter,sau đó
thereby,do đó
thesis,luận án
thorough,kỹ lưỡng
thoroughly,triệt để
thought-provoking,kích thích tư duy
thoughtful,chu đáo
thread,chủ đề
threshold,ngưỡng
thrilled,phấn khích
thrive,phát triển mạnh
thumb,ngón tay cái
tide,thủy triều
tighten,thắt chặt
timber,gỗ
timely,kịp thời
timing,thời gian
tissue,mô
tobacco,thuốc lá
tolerance,sức chịu đựng
tolerate,tha thứ
toll,phí cầu đường
ton,tấn
tonne,tấn
top,đứng đầu
torture,tra tấn
toss,quăng
total,tổng cộng
tournament,giải đấu
toxic,độc hại
trace,dấu vết
trademark,nhãn hiệu
trading,giao dịch
tragedy,thảm kịch
tragic,bi thảm
trail,đường mòn
trailer,đoạn phim giới thiệu
trait,đặc điểm
transaction,giao dịch
transcript,bản ghi chép
transformation,sự biến đổi
transit,quá cảnh
transmission,quá trình lây truyền
transmit,truyền tải
transparency,sự minh bạch
transparent,trong suốt
transportation,vận tải
trap,cạm bẫy
trauma,tổn thương
treasure,kho báu
treaty,hiệp ước
tremendous,to lớn
tribal,bộ lạc
tribe,bộ lạc
tribunal,tòa án
tribute,cống nạp
trigger,cò súng
trillion,nghìn tỷ
trio,bộ ba
triumph,chiến thắng
troop,quân đoàn
trophy,cúp
troubled,gặp rắc rối
trustee,người được ủy thác
tsunami,sóng thần
tuition,học phí
turnout,tỷ lệ cử tri đi bầu
turnover,doanh thu
twist,xoắn
ultimate,tối thượng
unacceptable,không thể chấp nhận được
uncertainty,sự không chắc chắn
undergo,trải qua
undergraduate,sinh viên đại học
underlying,cơ bản
undermine,làm suy yếu
undertake,thực hiện
undoubtedly,chắc chắn
unfold,mở ra
unfortunate,không may
unify,thống nhất
unite,đoàn kết
unity,đoàn kết
universal,phổ quát
unprecedented,chưa từng có
unveil,tiết lộ
upcoming,sắp tới
upgrade,nâng cấp
uphold,duy trì
urgent,cấp bách
usage,cách sử dụng
useless,vô ích
utility,tính thiết thực
utilize,sử dụng
utterly,hoàn toàn
vacuum,chân không
vague,mơ hồ
valid,có hiệu lực
validity,tính hợp lệ
vanish,biến mất
variable,biến
variation,biến thể
varied,đa dạng
vein,tĩnh mạch
venture,mạo hiểm
verbal,bằng lời nói
verdict,phán quyết
verify,xác minh
verse,thơ
versus,so với
vertical,thẳng đứng
vessel,tàu
veteran,cựu chiến binh
viable,khả thi
vibrant,sôi động
vice,phó
vicious,tàn ác
viewpoint,quan điểm
villager,dân làng
violate,vi phạm
violation,vi phạm
virtue,đức hạnh
visa,visa
visible,dễ thấy
vocal,giọng hát
voluntary,tự nguyện
voting,bỏ phiếu
vow,lời thề
vulnerability,sự dễ bị tổn thương
vulnerable,dễ bị tổn thương
wander,đi lang thang
ward,phường
warehouse,kho
warfare,chiến tranh
warming,sự nóng lên
warrant,lệnh
warrior,chiến binh
weaken,làm suy yếu
weave,dệt
weed,cần sa
weekly,hàng tuần
weird,kỳ quặc
welfare,phúc lợi
well,Tốt
well-being,hạnh phúc
whatsoever,bất cứ điều gì
wheat,lúa mì
whereby,nhờ đó
whilst,trong khi
whip,roi da
whoever,bất cứ ai
wholly,toàn bộ
widen,mở rộng
widespread,lan rộng
widow,góa phụ
width,chiều rộng
willingness,sự tự nguyện
wipe,lau đi
wisdom,khôn ngoan
wit,trí tuệ
withdraw,rút
withdrawal,rút lui
workforce,lực lượng lao động
workout,tập luyện
workplace,nơi làm việc
workshop,xưởng
worm,sâu
worship,tôn thờ
worthwhile,đáng giá
worthy,xứng đáng
wrist,cổ tay
yell,hét lên
yield,năng suất
youngster,thanh niên
